10:09:20.267 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 165 ms
10:09:20.295 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4a46a5b8, org.springframework.security.web.context.SecurityContextPersistenceFilter@58edb1b4, org.springframework.security.web.header.HeaderWriterFilter@1197dd83, org.springframework.security.web.authentication.logout.LogoutFilter@25b949bb, org.springframework.security.web.session.ConcurrentSessionFilter@3fc8f01a, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@4b914374, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@77b904ef, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@68dc5f22, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7433b6c, org.springframework.security.web.session.SessionManagementFilter@b428715, org.springframework.security.web.access.ExceptionTranslationFilter@63a09c53, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@486f9c41]
10:09:20.327 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
10:09:20.334 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
10:09:20.337 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Started AssignmentApplication in 0.258 seconds (JVM running for 756.047)
10:09:20.337 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
10:10:29.031 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Starting AssignmentApplication using Java 19.0.1 on Khaoula with PID 30516 (C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment\target\classes started by jbeli in C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment)
10:10:29.031 [restartedMain] INFO  c.e.assignment.AssignmentApplication - No active profile set, falling back to default profiles: default
10:10:29.175 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
10:10:29.176 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:10:29.176 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
10:10:29.193 [restartedMain] INFO  o.a.c.c.C.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:10:29.193 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 160 ms
10:10:29.221 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7f1427ca, org.springframework.security.web.context.SecurityContextPersistenceFilter@27ca9926, org.springframework.security.web.header.HeaderWriterFilter@13afdb3a, org.springframework.security.web.authentication.logout.LogoutFilter@170849cf, org.springframework.security.web.session.ConcurrentSessionFilter@2355f93c, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@a497e2d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4ad1f0ee, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@68e877e7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3543405a, org.springframework.security.web.session.SessionManagementFilter@bb535d6, org.springframework.security.web.access.ExceptionTranslationFilter@1c23070f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@e7364af]
10:10:29.253 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
10:10:29.261 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
10:10:29.264 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Started AssignmentApplication in 0.253 seconds (JVM running for 824.974)
10:10:29.264 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
10:18:35.490 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Starting AssignmentApplication using Java 19.0.1 on Khaoula with PID 30516 (C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment\target\classes started by jbeli in C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment)
10:18:35.490 [restartedMain] INFO  c.e.assignment.AssignmentApplication - No active profile set, falling back to default profiles: default
10:18:35.733 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
10:18:35.734 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:18:35.734 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
10:18:35.755 [restartedMain] INFO  o.a.c.c.C.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:18:35.755 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 262 ms
10:18:35.799 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@26c5b9a, org.springframework.security.web.context.SecurityContextPersistenceFilter@7ec82ba1, org.springframework.security.web.header.HeaderWriterFilter@54a12f94, org.springframework.security.web.authentication.logout.LogoutFilter@1723fab4, org.springframework.security.web.session.ConcurrentSessionFilter@2f4c5cbc, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@36639fcc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@23486663, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5f65b70, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4bc9beb5, org.springframework.security.web.session.SessionManagementFilter@11d6e9cb, org.springframework.security.web.access.ExceptionTranslationFilter@2cafaf43, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6e1db314]
10:18:35.838 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
10:18:35.844 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
10:18:35.847 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Started AssignmentApplication in 0.383 seconds (JVM running for 1311.557)
10:18:35.848 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
10:18:39.424 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Starting AssignmentApplication using Java 19.0.1 on Khaoula with PID 30516 (C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment\target\classes started by jbeli in C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment)
10:18:39.425 [restartedMain] INFO  c.e.assignment.AssignmentApplication - No active profile set, falling back to default profiles: default
10:18:39.573 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
10:18:39.573 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:18:39.573 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
10:18:39.585 [restartedMain] INFO  o.a.c.c.C.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:18:39.585 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 158 ms
10:18:39.614 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4688c28d, org.springframework.security.web.context.SecurityContextPersistenceFilter@764595c3, org.springframework.security.web.header.HeaderWriterFilter@4b28aa9f, org.springframework.security.web.authentication.logout.LogoutFilter@1d293ee8, org.springframework.security.web.session.ConcurrentSessionFilter@1ada04e2, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@772d4402, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@78b7b5c6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@dafa816, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@489f99dd, org.springframework.security.web.session.SessionManagementFilter@745027a9, org.springframework.security.web.access.ExceptionTranslationFilter@313bb91b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@76af666e]
10:18:39.642 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
10:18:39.647 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
10:18:39.650 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Started AssignmentApplication in 0.247 seconds (JVM running for 1315.36)
10:18:39.651 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
10:18:54.400 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Starting AssignmentApplication using Java 19.0.1 on Khaoula with PID 30516 (C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment\target\classes started by jbeli in C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment)
10:18:54.401 [restartedMain] INFO  c.e.assignment.AssignmentApplication - No active profile set, falling back to default profiles: default
10:18:54.535 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
10:18:54.535 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:18:54.535 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
10:18:54.549 [restartedMain] INFO  o.a.c.c.C.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:18:54.549 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 146 ms
10:18:54.585 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@514fc531, org.springframework.security.web.context.SecurityContextPersistenceFilter@7b807600, org.springframework.security.web.header.HeaderWriterFilter@214c3bb2, org.springframework.security.web.authentication.logout.LogoutFilter@6a0d61e3, org.springframework.security.web.session.ConcurrentSessionFilter@7bf2f665, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@eec32c8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3b515369, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7ee8b5ab, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@575360b0, org.springframework.security.web.session.SessionManagementFilter@6855a525, org.springframework.security.web.access.ExceptionTranslationFilter@6a9d5df6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@a975896]
10:18:54.614 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
10:18:54.620 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
10:18:54.623 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Started AssignmentApplication in 0.244 seconds (JVM running for 1330.333)
10:18:54.626 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
10:18:55.715 [RMI TCP Connection(24)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
11:36:38.578 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Starting AssignmentApplication using Java 19.0.1 on Khaoula with PID 27016 (C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment\target\classes started by jbeli in C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment)
11:36:38.579 [restartedMain] INFO  c.e.assignment.AssignmentApplication - No active profile set, falling back to default profiles: default
11:36:38.630 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
11:36:38.630 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
11:36:39.738 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
11:36:39.750 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
11:36:39.750 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
11:36:39.750 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
11:36:39.842 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
11:36:39.842 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1211 ms
11:36:40.097 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@40017854, org.springframework.security.web.context.SecurityContextPersistenceFilter@548de647, org.springframework.security.web.header.HeaderWriterFilter@2e981818, org.springframework.security.web.authentication.logout.LogoutFilter@4f9cd8f7, org.springframework.security.web.session.ConcurrentSessionFilter@642e59c8, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6ba3a94, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@75a1f927, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@27915f9b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6860c7b6, org.springframework.security.web.session.SessionManagementFilter@513613e8, org.springframework.security.web.access.ExceptionTranslationFilter@68d0a4ea, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@fc440c]
11:36:40.346 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
11:36:40.360 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
11:36:40.407 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
11:36:40.418 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Started AssignmentApplication in 2.224 seconds (JVM running for 2.926)
11:38:29.436 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Starting AssignmentApplication using Java 19.0.1 on Khaoula with PID 27016 (C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment\target\classes started by jbeli in C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment)
11:38:29.437 [restartedMain] INFO  c.e.assignment.AssignmentApplication - No active profile set, falling back to default profiles: default
